source_type,identifier,status_current,file,line,english,current_chinese,desired_chinese,notes
inline_ternary,app/frontend/src/components/AppLayout.tsx:138:inline_ternary,translated,app/frontend/src/components/AppLayout.tsx,138,"Hello, I am Sisyphus, your AI Assistant here. How can I help you today",你好！我是你的AI助手西西，请问有什么可以帮你的？,你好！我是你的AI助手西西，请问有什么可以帮你的？,
inline_ternary,app/frontend/src/components/AppLayout.tsx:154:inline_ternary,translated,app/frontend/src/components/AppLayout.tsx,154,No Project,暂无项目,暂无项目,
inline_ternary,app/frontend/src/components/AppLayout.tsx:155:inline_ternary,translated,app/frontend/src/components/AppLayout.tsx,155,Create a project to start the workflow.,请先创建项目以开始工作流。,请先创建项目以开始工作流。,
inline_ternary,app/frontend/src/components/AppLayout.tsx:179:inline_ternary,translated,app/frontend/src/components/AppLayout.tsx,179,Project created,项目已创建,项目已创建,
inline_ternary,app/frontend/src/components/AppLayout.tsx:185:inline_ternary,translated,app/frontend/src/components/AppLayout.tsx,185,Failed to create project,创建项目失败,创建项目失败,
inline_ternary,app/frontend/src/components/AppLayout.tsx:198:inline_ternary,translated,app/frontend/src/components/AppLayout.tsx,198,Project deleted,项目已删除,项目已删除,
inline_ternary,app/frontend/src/components/AppLayout.tsx:208:inline_ternary,translated,app/frontend/src/components/AppLayout.tsx,208,Failed to delete project,删除项目失败,删除项目失败,
inline_ternary,app/frontend/src/components/AppLayout.tsx:241:inline_ternary,translated,app/frontend/src/components/AppLayout.tsx,241,"You are LitFlow's literature review assistant. Provide accurate, concise, actionable guidance grounded in the current project context. Current project title: ${activeProject.title}. Current project goal: ${activeProject.goal}.",你是 LitFlow 的文献综述助手。请结合当前项目上下文，提供准确、简洁、可执行的建议。当前项目标题：${activeProject.title}。当前项目目标：${activeProject.goal}。,你是 LitFlow 的文献综述助手。请结合当前项目上下文，提供准确、简洁、可执行的建议。当前项目标题：${activeProject.title}。当前项目目标：${activeProject.goal}。,
inline_ternary,app/frontend/src/components/AppLayout.tsx:269:inline_ternary,translated,app/frontend/src/components/AppLayout.tsx,269,AI service error: ${lastError},AI 服务错误：${lastError},AI 服务错误：${lastError},
inline_ternary,app/frontend/src/components/AppLayout.tsx:270:inline_ternary,translated,app/frontend/src/components/AppLayout.tsx,270,"Sorry, the AI service is temporarily unavailable. Please try again later.",AI 服务暂时不可用，请稍后重试。,AI 服务暂时不可用，请稍后重试。,
english_only_literal,app/frontend/src/components/AppLayout.tsx:307:literal,untranslated,app/frontend/src/components/AppLayout.tsx,307,Research Workspace logo,,,hardcoded english literal
english_only_jsx_text,app/frontend/src/components/AppLayout.tsx:368:jsx,untranslated,app/frontend/src/components/AppLayout.tsx,368,Select project,,,hardcoded english jsx text
inline_ternary,app/frontend/src/components/AppLayout.tsx:428:inline_ternary,translated,app/frontend/src/components/AppLayout.tsx,428,Premium Active,Premium 已开通,Premium 已开通,
inline_ternary,app/frontend/src/components/AppLayout.tsx:432:inline_ternary,translated,app/frontend/src/components/AppLayout.tsx,432,Creating multiple projects requires Premium,创建多个项目需要 Premium,创建多个项目需要 Premium,
inline_ternary,app/frontend/src/components/AppLayout.tsx:507:inline_ternary,translated,app/frontend/src/components/AppLayout.tsx,507,Delete current project,删除当前项目,删除当前项目,
inline_ternary,app/frontend/src/components/AppLayout.tsx:578:inline_ternary,translated,app/frontend/src/components/AppLayout.tsx,578,My Artifacts,我的产件,我的产件,
inline_ternary,app/frontend/src/components/AppLayout.tsx:593:inline_ternary,translated,app/frontend/src/components/AppLayout.tsx,593,My Packages,我的产集,我的产集,
inline_ternary,app/frontend/src/components/AppLayout.tsx:608:inline_ternary,translated,app/frontend/src/components/AppLayout.tsx,608,Community Packages,社区产集,社区产集,
inline_ternary,app/frontend/src/components/AppLayout.tsx:613:inline_ternary,translated,app/frontend/src/components/AppLayout.tsx,613,Team,团队,团队,
inline_ternary,app/frontend/src/components/AppLayout.tsx:637:inline_ternary,translated,app/frontend/src/components/AppLayout.tsx,637,Project Members,项目成员,项目成员,
english_only_literal,app/frontend/src/components/AppLayout.tsx:680:literal,untranslated,app/frontend/src/components/AppLayout.tsx,680,Research Workspace logo,,,hardcoded english literal
inline_ternary,app/frontend/src/components/AppLayout.tsx:697:inline_ternary,translated,app/frontend/src/components/AppLayout.tsx,697,Register,注册,注册,
inline_ternary,app/frontend/src/components/AppLayout.tsx:702:inline_ternary,translated,app/frontend/src/components/AppLayout.tsx,702,Login,登录,登录,
inline_ternary,app/frontend/src/components/AppLayout.tsx:721:inline_ternary,translated,app/frontend/src/components/AppLayout.tsx,721,Logout,退出,退出,
english_only_jsx_text,app/frontend/src/components/AppLayout.tsx:759:jsx,untranslated,app/frontend/src/components/AppLayout.tsx,759,English,,,hardcoded english jsx text
inline_ternary,app/frontend/src/components/AppLayout.tsx:768:inline_ternary,needs_review,app/frontend/src/components/AppLayout.tsx,768,border-slate-700/40,border-cyan-500/30 font-medium,border-cyan-500/30 font-medium,
inline_ternary,app/frontend/src/components/AppLayout.tsx:792:inline_ternary,translated,app/frontend/src/components/AppLayout.tsx,792,Copyright,版权所有,版权所有,
inline_ternary,app/frontend/src/components/AppLayout.tsx:799:inline_ternary,translated,app/frontend/src/components/AppLayout.tsx,799,Sisyphus Lynn,西西弗斯林,西西弗斯林,
inline_ternary,app/frontend/src/components/AppLayout.tsx:808:inline_ternary,translated,app/frontend/src/components/AppLayout.tsx,808,Donate,打赏,打赏,
inline_ternary,app/frontend/src/components/AppLayout.tsx:817:inline_ternary,translated,app/frontend/src/components/AppLayout.tsx,817,Upgrade to Premium,升级到 Premium,升级到 Premium,
inline_ternary,app/frontend/src/components/AppLayout.tsx:819:inline_ternary,translated,app/frontend/src/components/AppLayout.tsx,819,Free users can create only 1 project and cannot delete projects. Upgrade to Premium for multi-project creation and deletion.,Free 用户仅可创建 1 个项目，且不能删除项目。升级 Premium 后可创建多个项目并删除现有项目。,Free 用户仅可创建 1 个项目，且不能删除项目。升级 Premium 后可创建多个项目并删除现有项目。,
inline_ternary,app/frontend/src/components/AppLayout.tsx:826:inline_ternary,translated,app/frontend/src/components/AppLayout.tsx,826,Maybe later,稍后再说,稍后再说,
inline_ternary,app/frontend/src/components/AppLayout.tsx:832:inline_ternary,translated,app/frontend/src/components/AppLayout.tsx,832,View Premium details,查看 Premium 详情,查看 Premium 详情,
